brand,model,year,km_driven,fuel,transmission,owner,engine,max_power,seats,selling_price
Hyundai,Elantra,2012,194622,Hybrid,Automatic,First Owner,2937,278,4,1862944
Toyota,Corolla,2021,97876,Diesel,Automatic,Second Owner,3986,97,7,1721998
Volkswagen,Tiguan,2011,20889,Diesel,Automatic,First Owner,2018,168,4,1487276
Kia,Sportage,2012,115593,Petrol,Automatic,Second Owner,2023,108,5,1052168
Ford,Kuga,2011,18261,Hybrid,Manual,First Owner,1968,155,5,1452423
Hyundai,Sonata,2014,231662,Diesel,Manual,First Owner,2552,71,5,706720
Mercedes,E200,2017,115888,Hybrid,Automatic,First Owner,1777,221,4,3715115
Toyota,RAV4,2009,201077,Diesel,Manual,First Owner,3392,314,7,1339621
Ford,Kuga,2013,19910,Hybrid,Manual,First Owner,1280,374,4,1878523
Volkswagen,Passat,2020,36427,Hybrid,Manual,Third Owner,3435,90,7,2090777
Toyota,Camry,2024,87934,Diesel,Manual,Third Owner,3933,230,4,2005955
Mercedes,E200,2012,181079,Hybrid,Automatic,Second Owner,2295,107,4,2880921
Hyundai,Tucson,2011,24204,Hybrid,Manual,Third Owner,2086,137,5,1163041
Toyota,Corolla,2019,79707,Petrol,Automatic,Third Owner,3881,224,7,1933508
Ford,Kuga,2024,7050,Hybrid,Automatic,Third Owner,1424,138,5,2274029
Toyota,Corolla,2012,76394,Diesel,Manual,Third Owner,2404,174,7,1353581
Volkswagen,Polo,2024,133065,Diesel,Manual,First Owner,3598,286,5,2214275
Toyota,Corolla,2018,207144,Petrol,Automatic,First Owner,2809,352,7,1969714
Hyundai,Tucson,2008,34327,Petrol,Manual,Third Owner,1147,259,7,1105730
Kia,Rio,2021,38409,Petrol,Automatic,Second Owner,1163,253,4,1758353
Volkswagen,Passat,2011,97714,Hybrid,Automatic,Third Owner,1633,191,4,1469045
Ford,Focus,2021,11497,Petrol,Automatic,Second Owner,3743,197,5,2211860
BMW,X3,2011,105281,Petrol,Automatic,First Owner,1817,305,5,3233056
Mercedes,C200,2015,11203,Hybrid,Manual,Second Owner,2344,212,4,3460736
Ford,Mondeo,2019,173160,Hybrid,Automatic,Third Owner,3196,239,4,1916123
Toyota,Camry,2013,157198,Diesel,Manual,First Owner,3443,292,5,1630666
Volkswagen,Polo,2021,163914,Hybrid,Manual,Second Owner,3361,167,5,1886059
Toyota,RAV4,2021,5443,Hybrid,Manual,Second Owner,2766,105,7,1914975
Mercedes,GLA,2018,178903,Petrol,Automatic,Third Owner,2266,279,5,3371345
Hyundai,Tucson,2017,150335,Petrol,Manual,Second Owner,3723,264,7,1922429
Volkswagen,Passat,2017,111450,Hybrid,Manual,Second Owner,2175,177,5,1835542
Ford,Kuga,2018,126893,Diesel,Automatic,Third Owner,1875,331,5,1829081
Ford,Kuga,2013,177713,Petrol,Automatic,Third Owner,3719,394,7,1991042
Mercedes,C200,2015,181369,Diesel,Manual,First Owner,1603,82,4,2382401
BMW,X5,2010,124384,Diesel,Manual,Third Owner,3852,266,5,3140363
Hyundai,Elantra,2012,176981,Hybrid,Manual,First Owner,2741,182,4,1340311
Ford,Kuga,2024,126778,Petrol,Manual,First Owner,2869,138,5,1693945
Volkswagen,Tiguan,2018,202984,Diesel,Automatic,Third Owner,2826,151,7,1329481
Ford,Mondeo,2022,72945,Petrol,Automatic,Third Owner,2984,390,4,2397279
Mercedes,E200,2010,192051,Diesel,Manual,Second Owner,2375,233,7,2676526
Toyota,Corolla,2012,65623,Diesel,Manual,Third Owner,1876,102,5,1208590
Hyundai,Sonata,2022,113992,Petrol,Manual,Second Owner,2595,369,7,2172964
Toyota,RAV4,2020,130037,Petrol,Automatic,Second Owner,2597,284,7,2190005
Volkswagen,Tiguan,2015,132986,Petrol,Automatic,Second Owner,2989,84,5,1396623
Mercedes,GLA,2020,194839,Petrol,Automatic,First Owner,3548,343,4,3603254
Hyundai,Tucson,2008,27006,Hybrid,Automatic,First Owner,2891,163,4,1741347
Mercedes,E200,2018,60485,Diesel,Automatic,Second Owner,2552,212,5,3622535
Mercedes,C200,2023,10081,Hybrid,Manual,Second Owner,1918,105,7,3474664
Toyota,Corolla,2015,57261,Petrol,Manual,First Owner,1517,312,7,1877724
Toyota,RAV4,2014,126905,Hybrid,Automatic,Second Owner,1687,380,7,1756278
Volkswagen,Tiguan,2011,208893,Petrol,Automatic,First Owner,3370,83,5,1168499
Kia,Cerato,2020,108980,Hybrid,Manual,First Owner,3425,391,4,2586347
Toyota,RAV4,2017,227899,Hybrid,Manual,Third Owner,1168,247,7,1442050
Hyundai,Tucson,2019,23076,Hybrid,Automatic,First Owner,2720,320,4,2625612
Hyundai,Sonata,2022,190416,Petrol,Automatic,First Owner,3137,208,7,1611582
Ford,Kuga,2023,126863,Diesel,Automatic,Second Owner,2005,114,5,1649073
Hyundai,Elantra,2022,154382,Hybrid,Automatic,Second Owner,1117,323,5,2319852
BMW,X5,2014,98015,Diesel,Automatic,Second Owner,3441,211,7,3469304
Toyota,RAV4,2014,27442,Petrol,Automatic,Second Owner,3274,193,7,1740975
Hyundai,Tucson,2023,122486,Petrol,Manual,Second Owner,1907,277,7,1762303
BMW,X5,2019,129062,Hybrid,Automatic,Second Owner,3254,239,5,3702212
Volkswagen,Polo,2016,85379,Diesel,Manual,First Owner,3954,168,5,1779652
Toyota,RAV4,2013,55211,Petrol,Automatic,Second Owner,3967,371,7,2311440
Kia,Sportage,2011,223268,Petrol,Automatic,First Owner,2478,161,5,998199
Toyota,RAV4,2012,76909,Petrol,Manual,Third Owner,2196,134,7,1187572
Ford,Mondeo,2011,233778,Petrol,Automatic,Second Owner,2960,295,5,1478505
BMW,320,2016,230895,Diesel,Manual,First Owner,2641,321,4,3182156
Kia,Cerato,2009,44774,Petrol,Automatic,First Owner,2016,130,7,1082544
Ford,Mondeo,2015,208343,Hybrid,Automatic,Second Owner,2813,222,7,1761114
Hyundai,Sonata,2009,164811,Hybrid,Manual,First Owner,3562,178,5,1340861
Volkswagen,Passat,2013,67879,Petrol,Manual,First Owner,1010,279,5,1143714
Volkswagen,Tiguan,2023,81351,Petrol,Manual,Second Owner,3895,214,7,2150966
Ford,Mondeo,2010,185193,Petrol,Automatic,Third Owner,3415,171,5,1308522
Toyota,RAV4,2015,174773,Petrol,Automatic,First Owner,1292,100,4,1045021
Ford,Mondeo,2017,120121,Petrol,Automatic,Third Owner,2245,276,5,1801319
Kia,Cerato,2023,119755,Petrol,Manual,Second Owner,2320,379,5,1993684
Toyota,Corolla,2015,181763,Hybrid,Manual,Third Owner,2103,365,4,1851327
Ford,Focus,2023,141043,Hybrid,Automatic,Second Owner,1743,369,5,2500456
Volkswagen,Polo,2010,128210,Diesel,Automatic,Second Owner,2315,123,4,977988
Mercedes,E200,2023,80554,Hybrid,Automatic,Third Owner,1150,302,4,3892199
Mercedes,E200,2018,35388,Diesel,Manual,Third Owner,3222,306,5,3638131
Toyota,Corolla,2024,99838,Hybrid,Automatic,Third Owner,2810,96,4,2444751
Mercedes,GLA,2012,248183,Diesel,Automatic,Third Owner,2985,132,4,2607570
Volkswagen,Tiguan,2015,191065,Petrol,Automatic,Third Owner,1056,352,5,1644902
Toyota,Corolla,2011,125965,Petrol,Manual,Second Owner,3935,219,7,1424653
Volkswagen,Polo,2021,223817,Diesel,Automatic,First Owner,2870,352,4,1825050
Hyundai,Elantra,2024,200636,Petrol,Manual,Second Owner,2699,244,7,1809600
Mercedes,C200,2017,195329,Diesel,Automatic,First Owner,2829,345,5,3455226
Mercedes,E200,2020,124365,Diesel,Manual,Third Owner,1978,362,5,3822456
BMW,X5,2009,88408,Hybrid,Automatic,Third Owner,2561,267,7,3295979
Ford,Kuga,2012,134847,Petrol,Manual,Third Owner,3417,239,4,1485588
Ford,Mondeo,2011,142874,Diesel,Manual,Third Owner,1590,279,7,1195045
BMW,320,2023,209872,Diesel,Automatic,Third Owner,3837,273,7,3513004
Toyota,Camry,2020,88010,Hybrid,Automatic,Third Owner,1147,386,4,2632453
BMW,X3,2017,64634,Hybrid,Manual,Second Owner,1403,394,7,3828971
Ford,Focus,2022,48611,Hybrid,Automatic,First Owner,1188,236,4,2389632
Mercedes,E200,2019,117901,Petrol,Manual,Third Owner,2687,359,7,3378339
Ford,Focus,2013,50893,Petrol,Automatic,Third Owner,3798,193,5,2010833
Kia,Rio,2015,125887,Hybrid,Automatic,Second Owner,2045,74,5,1279698
Mercedes,GLA,2013,24362,Diesel,Automatic,Third Owner,2225,397,5,3715554
Volkswagen,Polo,2022,226591,Diesel,Manual,Second Owner,2979,124,4,1732236
Hyundai,Tucson,2019,155683,Diesel,Automatic,First Owner,3696,272,5,1924453
Toyota,RAV4,2009,243712,Hybrid,Automatic,Second Owner,1942,380,5,1618931
BMW,X3,2014,167762,Diesel,Manual,Third Owner,1397,391,7,3066473
Toyota,Camry,2022,13746,Hybrid,Automatic,Third Owner,1538,116,5,2017686
Mercedes,GLA,2021,51042,Petrol,Manual,Third Owner,2498,341,7,3442516
Mercedes,C200,2016,244612,Diesel,Automatic,Third Owner,2387,128,5,2699110
Toyota,Corolla,2015,230480,Hybrid,Automatic,Third Owner,2498,116,5,1294394
Toyota,Camry,2011,124219,Diesel,Automatic,Third Owner,2560,396,5,1946600
Toyota,RAV4,2015,128594,Petrol,Automatic,Third Owner,1906,102,7,1095798
Ford,Mondeo,2017,175194,Diesel,Manual,First Owner,1185,89,5,1132352
Hyundai,Elantra,2011,66551,Hybrid,Manual,Second Owner,2858,259,7,1675610
Volkswagen,Tiguan,2021,158967,Hybrid,Manual,Second Owner,3682,120,5,1836056
Kia,Sportage,2016,13576,Hybrid,Automatic,First Owner,2816,297,4,2559775
Ford,Mondeo,2011,184746,Diesel,Automatic,First Owner,2630,211,4,1117878
Toyota,Camry,2010,178740,Petrol,Manual,First Owner,2366,194,4,1016538
Ford,Kuga,2014,22985,Hybrid,Manual,Third Owner,1884,189,5,1905201
Ford,Focus,2008,77685,Petrol,Manual,Third Owner,2026,159,4,704907
Volkswagen,Passat,2012,8895,Diesel,Manual,Third Owner,2326,78,4,1153805
Mercedes,C200,2012,199436,Diesel,Manual,Third Owner,1260,313,5,2711610
Ford,Mondeo,2024,160625,Petrol,Automatic,Third Owner,1907,384,4,2442073
Volkswagen,Tiguan,2024,84070,Diesel,Manual,First Owner,2961,275,5,1977967
Volkswagen,Passat,2023,191751,Diesel,Manual,First Owner,2319,381,4,1868779
Toyota,Corolla,2016,168661,Hybrid,Automatic,Second Owner,3446,341,5,2410369
Hyundai,Tucson,2021,30999,Hybrid,Manual,Third Owner,3666,352,7,2762449
Ford,Focus,2021,123372,Petrol,Automatic,Second Owner,2857,274,5,2154379
Volkswagen,Passat,2018,116873,Diesel,Automatic,Second Owner,1625,312,4,1941971
Toyota,Corolla,2010,118213,Petrol,Automatic,First Owner,3278,100,7,1103270
Kia,Cerato,2018,180639,Petrol,Automatic,Second Owner,3725,286,7,2047310
Toyota,Camry,2017,97181,Petrol,Manual,First Owner,3689,316,4,2042948
Ford,Focus,2019,226609,Hybrid,Automatic,First Owner,2141,363,4,2118279
Ford,Mondeo,2008,164644,Hybrid,Automatic,First Owner,1738,209,7,1633778
Ford,Mondeo,2018,97018,Petrol,Manual,First Owner,3319,275,4,1962388
BMW,X3,2008,29053,Hybrid,Manual,Second Owner,2719,302,5,3126048
BMW,X5,2017,194162,Diesel,Manual,First Owner,1637,150,7,2680709
Toyota,RAV4,2010,76330,Diesel,Automatic,Second Owner,3486,296,5,1664037
Mercedes,C200,2024,34836,Diesel,Automatic,First Owner,2160,373,5,4204890
Kia,Cerato,2017,16905,Petrol,Automatic,Third Owner,1224,73,4,1556079
Mercedes,C200,2012,205320,Diesel,Automatic,Second Owner,1491,73,5,2172407
Volkswagen,Polo,2013,38865,Diesel,Manual,Third Owner,3288,251,4,1837476
Hyundai,Tucson,2009,119352,Petrol,Automatic,First Owner,2282,364,5,1725513
Kia,Sportage,2021,80894,Petrol,Automatic,First Owner,2330,157,7,1953521
Hyundai,Tucson,2019,28102,Diesel,Manual,First Owner,2784,371,5,2523414
Kia,Rio,2020,233202,Diesel,Automatic,First Owner,2364,156,4,1441387
Kia,Cerato,2011,144094,Hybrid,Manual,Second Owner,2438,400,4,1814451
BMW,320,2012,72100,Petrol,Manual,Third Owner,1626,108,4,2336272
Ford,Kuga,2023,126622,Hybrid,Automatic,Third Owner,3312,399,7,2768684
Kia,Sportage,2018,44572,Diesel,Manual,Second Owner,2811,393,5,2203440
Ford,Mondeo,2009,97259,Hybrid,Manual,Second Owner,2891,301,4,1792804
Toyota,Camry,2017,25114,Hybrid,Manual,Third Owner,3433,329,5,2478725
Hyundai,Tucson,2009,122894,Hybrid,Manual,Second Owner,3478,313,7,1932489
BMW,320,2022,32132,Diesel,Manual,Third Owner,3646,158,4,3479586
BMW,X3,2022,120191,Hybrid,Manual,Second Owner,2527,214,5,3791698
Hyundai,Sonata,2009,211891,Hybrid,Automatic,First Owner,2350,118,7,1134019
Volkswagen,Polo,2017,71059,Hybrid,Manual,Second Owner,1333,368,7,2535857
BMW,X5,2017,176980,Hybrid,Automatic,First Owner,3437,113,5,3387940
Kia,Sportage,2018,218171,Petrol,Manual,Third Owner,3746,286,7,1611984
Mercedes,C200,2019,85967,Petrol,Manual,Second Owner,2991,168,4,2986082
BMW,320,2010,82540,Petrol,Manual,Third Owner,2379,386,4,3229140
Kia,Sportage,2012,47532,Petrol,Manual,Third Owner,2792,92,5,1120216
Mercedes,GLA,2015,121444,Hybrid,Automatic,Third Owner,2838,189,7,3512412
BMW,X5,2023,241971,Petrol,Automatic,Third Owner,3336,295,5,3674943
Ford,Mondeo,2020,136833,Hybrid,Automatic,First Owner,1817,379,4,2435459
Ford,Mondeo,2009,173081,Diesel,Automatic,Third Owner,1420,334,4,1224818
Mercedes,C200,2013,76510,Diesel,Manual,Second Owner,1375,183,5,2433502
Mercedes,C200,2021,18960,Diesel,Automatic,First Owner,2581,111,5,3309752
BMW,320,2018,249010,Petrol,Automatic,First Owner,1563,89,5,2687389
Ford,Mondeo,2012,203925,Hybrid,Automatic,Second Owner,3520,72,4,1432264
Toyota,Camry,2014,223880,Petrol,Automatic,First Owner,2180,191,5,1069879
Toyota,Corolla,2015,115054,Hybrid,Automatic,First Owner,1454,325,7,2076469
Kia,Rio,2024,155745,Petrol,Manual,Second Owner,2758,70,7,1535007
Mercedes,C200,2021,54103,Hybrid,Manual,Third Owner,2477,104,7,3240765
Kia,Cerato,2024,150267,Petrol,Automatic,Second Owner,1178,395,5,2286724
Mercedes,E200,2008,98610,Petrol,Automatic,First Owner,3691,391,4,3442661
Ford,Kuga,2018,39972,Petrol,Automatic,Third Owner,2386,399,4,2204010
Ford,Kuga,2022,187292,Diesel,Manual,First Owner,1258,304,4,1727784
Mercedes,C200,2009,212384,Petrol,Manual,Second Owner,2270,333,5,2782349
Ford,Kuga,2023,71404,Petrol,Manual,Second Owner,2462,94,7,1773949
Mercedes,E200,2011,214542,Diesel,Automatic,Second Owner,2801,267,5,3066636
BMW,X5,2023,101297,Hybrid,Automatic,First Owner,3978,287,4,4054955
Hyundai,Tucson,2013,147992,Diesel,Automatic,First Owner,1327,237,7,1204892
Mercedes,E200,2022,162973,Hybrid,Automatic,First Owner,3825,297,5,4167559
Hyundai,Elantra,2019,166179,Diesel,Automatic,Third Owner,1234,108,7,1349809
Volkswagen,Polo,2019,139502,Hybrid,Manual,First Owner,1584,381,7,2238353
Ford,Mondeo,2009,38090,Petrol,Manual,Third Owner,2500,255,5,1964229
Kia,Rio,2012,183012,Diesel,Automatic,Second Owner,2818,109,7,1214809
BMW,X3,2019,109342,Diesel,Automatic,First Owner,1464,83,7,3028750
BMW,X5,2024,106446,Hybrid,Manual,Second Owner,2066,298,4,3985108
Kia,Sportage,2023,57475,Petrol,Manual,First Owner,2851,158,7,1955408
Hyundai,Elantra,2018,180070,Diesel,Manual,Third Owner,3220,218,5,1520569
Ford,Focus,2013,213062,Diesel,Manual,First Owner,1823,141,4,963671
Ford,Mondeo,2008,99606,Hybrid,Automatic,Second Owner,3259,136,7,1413714
Toyota,Corolla,2017,109375,Hybrid,Automatic,Third Owner,2682,279,7,2195527
Toyota,Corolla,2018,173385,Petrol,Automatic,Second Owner,3785,334,5,2083175
BMW,X3,2013,206269,Petrol,Automatic,Third Owner,1226,133,7,2466143
BMW,X5,2013,47458,Diesel,Manual,Second Owner,3125,215,4,3408532
Mercedes,C200,2016,37812,Hybrid,Automatic,Third Owner,3185,117,7,3214536
Volkswagen,Passat,2012,49879,Hybrid,Automatic,Third Owner,1168,84,4,1488381
Toyota,RAV4,2016,175689,Petrol,Automatic,Third Owner,3617,85,5,1161764
Volkswagen,Tiguan,2017,173272,Diesel,Automatic,First Owner,3805,277,5,1895916
Hyundai,Elantra,2009,46439,Diesel,Automatic,Second Owner,2902,174,5,1590764
Kia,Rio,2018,230833,Hybrid,Automatic,Third Owner,2414,274,4,1995076
Ford,Mondeo,2024,152233,Petrol,Automatic,First Owner,2910,132,5,1700372
Hyundai,Elantra,2012,30378,Petrol,Automatic,Second Owner,3520,284,4,1869948
Ford,Focus,2018,249777,Hybrid,Automatic,First Owner,1652,325,7,2062685
Hyundai,Sonata,2017,135382,Petrol,Manual,Second Owner,3070,304,4,1690181
BMW,X3,2019,17755,Petrol,Automatic,Second Owner,3447,310,5,3939008
Kia,Rio,2011,117965,Petrol,Automatic,Third Owner,2498,276,5,1585605
Toyota,Camry,2009,154495,Hybrid,Manual,Second Owner,3266,217,4,1375669
Hyundai,Tucson,2022,205383,Hybrid,Automatic,Third Owner,3786,382,4,3033725
BMW,320,2020,102831,Diesel,Automatic,First Owner,1815,378,7,3806675
Hyundai,Tucson,2009,16876,Petrol,Manual,Third Owner,2364,312,7,1247076
Hyundai,Elantra,2024,41642,Diesel,Automatic,First Owner,2609,385,7,2698534
Ford,Mondeo,2018,137989,Hybrid,Automatic,Third Owner,3305,223,5,2078004
Ford,Focus,2019,91832,Hybrid,Manual,Second Owner,3390,227,7,2270201
Ford,Kuga,2008,161476,Diesel,Automatic,Third Owner,3369,365,4,1576019
Volkswagen,Passat,2023,49698,Hybrid,Automatic,First Owner,3788,194,4,2586593
Kia,Cerato,2011,55012,Petrol,Automatic,Second Owner,2715,147,5,1490474
Volkswagen,Passat,2021,136548,Hybrid,Automatic,Third Owner,3979,101,7,2256117
BMW,X3,2014,152033,Diesel,Automatic,Third Owner,2543,230,4,2872339
Hyundai,Tucson,2018,148202,Diesel,Automatic,Third Owner,2983,168,4,1620870
Mercedes,GLA,2017,63947,Diesel,Automatic,Third Owner,1849,320,5,3428214
Hyundai,Sonata,2016,80442,Petrol,Automatic,Second Owner,2413,144,5,1463066
Toyota,Camry,2010,95797,Diesel,Automatic,Third Owner,2962,179,4,1665024
Ford,Kuga,2016,249586,Hybrid,Automatic,First Owner,1447,385,7,2041125
Kia,Rio,2015,18307,Hybrid,Manual,Third Owner,1953,96,4,1357203
Hyundai,Sonata,2023,31357,Hybrid,Manual,First Owner,3254,150,5,2388065
Volkswagen,Polo,2023,175534,Petrol,Automatic,Second Owner,2169,400,4,2642605
Ford,Focus,2015,145286,Hybrid,Manual,First Owner,2711,160,4,1720947
Ford,Mondeo,2023,53840,Hybrid,Automatic,First Owner,1037,222,7,2024964
Kia,Rio,2018,79596,Diesel,Automatic,First Owner,3065,309,5,2100422
BMW,320,2018,47596,Hybrid,Automatic,Third Owner,2053,165,4,3715294
Volkswagen,Polo,2017,153840,Hybrid,Manual,First Owner,3502,397,5,2253969
Ford,Mondeo,2024,90964,Petrol,Automatic,Third Owner,1390,164,4,1903144
Hyundai,Sonata,2015,6790,Diesel,Automatic,First Owner,2829,206,5,1991965
Mercedes,GLA,2008,73564,Hybrid,Automatic,Third Owner,1967,101,7,2661382
Toyota,Camry,2017,46868,Diesel,Automatic,Third Owner,1480,397,5,2161835
Mercedes,GLA,2015,62443,Petrol,Automatic,First Owner,2863,380,5,3218373
Hyundai,Tucson,2023,203534,Hybrid,Manual,First Owner,3786,375,4,2394673
Kia,Sportage,2024,189488,Diesel,Manual,Third Owner,1459,101,7,1254488
Kia,Rio,2012,48132,Diesel,Automatic,First Owner,3786,175,7,1521968
Kia,Sportage,2010,240638,Hybrid,Automatic,First Owner,2857,137,7,1534635
Hyundai,Sonata,2009,151485,Diesel,Automatic,Third Owner,1089,272,5,975858
Ford,Focus,2014,156600,Petrol,Manual,Second Owner,2411,102,7,937443
Toyota,Corolla,2023,13319,Diesel,Automatic,First Owner,1554,398,7,2571073
Volkswagen,Polo,2019,238657,Diesel,Automatic,Second Owner,2538,111,7,1547076
Volkswagen,Tiguan,2012,176320,Diesel,Manual,First Owner,3200,271,7,1189480
BMW,X3,2015,223843,Petrol,Manual,Second Owner,2896,348,5,3281188
Kia,Sportage,2015,69883,Diesel,Automatic,First Owner,2129,166,7,1546118
Ford,Focus,2009,217199,Hybrid,Automatic,Third Owner,1064,193,4,1010475
Toyota,Corolla,2009,122031,Hybrid,Manual,First Owner,1181,275,5,1439903
BMW,X3,2014,202757,Petrol,Manual,Third Owner,2184,189,7,2624444
Kia,Sportage,2018,67102,Diesel,Manual,Third Owner,3135,183,5,1603513
Mercedes,E200,2009,150940,Hybrid,Manual,Third Owner,3780,288,7,3245590
Hyundai,Elantra,2019,173641,Hybrid,Automatic,Third Owner,2305,283,5,2098170
BMW,X5,2020,53202,Hybrid,Automatic,First Owner,1923,223,7,3756573
BMW,X5,2009,152426,Diesel,Automatic,Third Owner,3170,138,5,2764967
BMW,X5,2014,91576,Hybrid,Manual,Second Owner,2519,117,7,3225100
Volkswagen,Passat,2009,75375,Diesel,Manual,First Owner,1770,370,7,1304077
Volkswagen,Tiguan,2014,130670,Petrol,Automatic,Second Owner,1062,178,4,1562915
Volkswagen,Passat,2023,244715,Petrol,Manual,Second Owner,1980,352,5,1544756
Ford,Mondeo,2020,127224,Hybrid,Automatic,Second Owner,2071,254,7,2168434
Hyundai,Sonata,2011,215453,Hybrid,Automatic,Second Owner,1832,259,5,1629641
Hyundai,Elantra,2015,199314,Petrol,Manual,Second Owner,3266,369,7,1805920
Volkswagen,Polo,2017,44953,Petrol,Automatic,First Owner,2555,361,4,2152439
Hyundai,Tucson,2018,72456,Diesel,Automatic,Second Owner,1689,250,4,1802219
BMW,X3,2023,53247,Hybrid,Manual,Third Owner,1138,108,7,3210255
Toyota,Corolla,2021,41042,Hybrid,Manual,First Owner,3896,147,4,2131411
BMW,X3,2022,102832,Petrol,Automatic,Third Owner,2998,78,4,3366476
Kia,Cerato,2021,8106,Petrol,Automatic,Third Owner,2174,78,7,1808440
Ford,Kuga,2021,216332,Petrol,Manual,First Owner,3147,146,4,1350449
BMW,X3,2024,71169,Diesel,Automatic,Second Owner,1323,261,5,3743551
Hyundai,Tucson,2015,187776,Petrol,Automatic,Third Owner,1330,86,4,1035042
Hyundai,Sonata,2020,149887,Diesel,Manual,Third Owner,1038,157,4,1370355
Hyundai,Sonata,2018,153335,Petrol,Manual,First Owner,1865,360,5,1867524
Mercedes,C200,2010,184418,Diesel,Manual,First Owner,2288,78,4,2045014
Kia,Rio,2020,248498,Petrol,Automatic,First Owner,3309,193,7,1597826
Ford,Mondeo,2018,105622,Hybrid,Manual,Third Owner,3966,110,7,1970750
Volkswagen,Polo,2009,30607,Diesel,Manual,First Owner,2395,379,7,1787091
Kia,Sportage,2018,12766,Hybrid,Automatic,Second Owner,3009,186,5,2287682
Kia,Sportage,2021,53690,Hybrid,Automatic,First Owner,3533,221,4,2542669
Volkswagen,Passat,2010,75247,Petrol,Automatic,Third Owner,3596,148,7,1650555
Hyundai,Sonata,2019,32931,Petrol,Manual,Second Owner,2821,254,5,1853552
Toyota,Corolla,2010,54123,Diesel,Automatic,Third Owner,3272,332,5,1994618
Toyota,Corolla,2010,97776,Hybrid,Manual,Third Owner,3449,236,5,1681469
Toyota,Camry,2021,106659,Petrol,Manual,Third Owner,3134,156,7,1664129
Hyundai,Elantra,2012,75495,Diesel,Automatic,Second Owner,1597,102,4,1308376
Hyundai,Sonata,2021,83578,Diesel,Manual,Second Owner,2030,196,7,1801156
Volkswagen,Polo,2014,125025,Petrol,Manual,Second Owner,1027,272,5,1406026
Ford,Kuga,2020,215783,Diesel,Automatic,Second Owner,2763,374,4,2313705
Mercedes,E200,2014,130569,Diesel,Manual,Second Owner,2307,219,7,2835562
Volkswagen,Tiguan,2023,155963,Petrol,Automatic,Second Owner,2148,271,5,2140066
Toyota,RAV4,2014,160248,Hybrid,Manual,Third Owner,3253,83,7,1328413
Hyundai,Tucson,2014,119938,Diesel,Manual,Second Owner,3756,325,4,1884648
Volkswagen,Polo,2015,71238,Hybrid,Manual,Third Owner,2733,263,4,1955452
Hyundai,Tucson,2023,157631,Diesel,Automatic,Third Owner,1150,254,7,1856787
Ford,Kuga,2010,33670,Petrol,Automatic,First Owner,3650,383,4,2226933
Kia,Cerato,2020,202311,Diesel,Automatic,First Owner,1043,120,5,1129094
BMW,X3,2024,151274,Hybrid,Manual,Second Owner,2532,270,5,4066110
Ford,Kuga,2024,44516,Diesel,Manual,Second Owner,1428,221,5,1726765
Toyota,Corolla,2012,96312,Diesel,Automatic,Second Owner,1847,336,5,1542297
Mercedes,E200,2011,119862,Hybrid,Automatic,Second Owner,1275,223,4,3232742
Ford,Kuga,2011,10920,Diesel,Manual,Third Owner,1673,194,7,1382859
BMW,X3,2013,91766,Hybrid,Automatic,Second Owner,1949,277,7,3544935
BMW,320,2021,108699,Petrol,Manual,Second Owner,3425,289,5,3663103
